,0,OFFENCE,DAYS_SINCE
619,56,1,374.0
620,56,1,374.0
621,26,9,374.0
622,54,9,374.0
623,44,9,374.0
624,42,9,374.0
625,13,1,372.0
626,39,9,374.0
627,11,1,374.0
628,77,9,373.0
629,81,1,375.0
630,18,1,195.0
631,87,1,362.0
632,18,1,375.0
633,90,9,375.0
634,25,1,371.0
635,41,1,368.0
636,64,1,375.0
637,38,9,375.0
638,65,9,375.0
639,78,1,372.0
640,43,9,375.0
641,42,1,375.0
642,4,9,345.0
643,74,9,373.0
644,68,1,374.0
645,93,9,373.0
646,7,9,374.0
647,14,9,373.0
648,74,1,374.0
649,0,10,374.0
650,31,5,375.0
651,13,5,375.0
652,18,5,375.0
653,67,9,375.0
654,77,1,375.0
655,5,1,375.0
656,3,1,375.0
657,17,9,375.0
658,43,9,375.0
659,15,9,375.0
660,34,1,375.0
661,5,1,375.0
662,15,9,375.0
663,68,1,375.0
664,18,1,375.0
665,96,1,375.0
666,23,5,375.0
667,2,9,375.0
668,65,5,375.0
669,14,5,375.0
670,43,9,375.0
671,10,1,375.0
672,17,9,375.0
673,13,1,375.0
674,57,9,375.0
675,73,9,375.0
676,52,9,375.0
677,7,9,375.0
678,18,1,375.0
679,7,9,375.0
680,51,5,375.0
681,13,9,375.0
682,28,1,375.0
683,28,1,375.0
684,27,1,375.0
685,69,9,375.0
686,17,5,375.0
687,99,9,372.0
688,3,9,366.0
689,12,9,375.0
690,52,9,375.0
691,13,9,376.0
692,83,9,376.0
693,10,1,376.0
694,43,9,376.0
695,0,9,376.0
696,11,5,375.0
697,0,9,375.0
698,33,9,376.0
699,64,9,376.0
700,0,9,376.0
701,1,9,376.0
702,48,5,376.0
703,0,1,376.0
704,33,1,376.0
705,60,9,376.0
706,3,10,376.0
707,28,1,375.0
708,50,1,375.0
709,38,1,375.0
710,65,1,375.0
711,37,9,376.0
712,52,9,376.0
713,54,9,376.0
714,18,10,335.0
715,52,1,374.0
716,53,1,375.0
717,5,9,376.0
718,8,5,376.0
719,42,5,376.0
720,77,9,376.0
721,66,1,376.0
722,37,9,376.0
723,13,9,376.0
724,68,9,376.0
725,2,5,376.0
726,80,1,376.0
727,46,9,376.0
728,5,9,376.0
729,68,1,376.0
730,96,1,376.0
731,96,1,376.0
732,80,9,376.0
733,78,1,376.0
734,69,1,376.0
735,18,1,376.0
736,18,1,376.0
737,14,9,376.0
738,33,9,376.0
739,28,9,376.0
740,57,5,376.0
741,0,9,376.0
742,57,9,376.0
743,72,1,376.0
744,68,10,376.0
745,42,9,376.0
746,83,1,376.0
747,89,1,376.0
748,2,1,377.0
749,38,1,377.0
750,42,1,377.0
751,67,9,374.0
752,96,5,376.0
753,66,9,377.0
754,28,9,368.0
755,18,5,5.0
756,0,1,377.0
757,75,10,377.0
758,0,1,377.0
759,16,5,377.0
760,10,9,377.0
761,18,1,377.0
762,66,9,377.0
763,96,5,377.0
764,65,9,377.0
765,57,5,377.0
766,5,9,377.0
767,98,9,377.0
768,18,1,377.0
769,92,9,377.0
770,57,9,377.0
771,64,1,377.0
772,78,9,377.0
773,54,5,377.0
774,48,1,377.0
775,66,9,377.0
776,92,9,377.0
777,24,9,377.0
778,1,9,377.0
779,69,1,377.0
780,70,1,377.0
781,60,9,377.0
782,10,9,377.0
783,57,9,377.0
784,12,1,377.0
785,60,1,373.0
786,68,9,377.0
787,5,9,377.0
788,51,9,377.0
789,18,1,375.0
790,44,1,375.0
791,67,1,377.0
792,57,9,377.0
793,37,9,377.0
794,18,9,377.0
795,13,9,377.0
796,31,9,377.0
797,23,9,377.0
798,37,1,377.0
799,18,9,377.0
800,68,9,377.0
801,95,9,377.0
802,5,9,376.0
803,70,9,376.0
804,46,9,376.0
805,52,1,376.0
806,13,9,376.0
807,0,9,376.0
808,65,9,376.0
809,94,9,377.0
810,97,9,377.0
811,2,9,371.0
812,13,9,369.0
813,56,9,377.0
814,80,9,377.0
815,80,1,377.0
816,86,9,377.0
817,85,1,372.0
818,78,1,377.0
819,18,9,273.0
820,32,1,376.0
821,50,1,376.0
822,15,1,377.0
823,99,1,374.0
824,4,1,375.0
825,68,9,378.0
826,46,5,378.0
827,33,9,378.0
828,51,1,356.0
829,43,1,378.0
830,18,9,378.0
831,84,1,378.0
832,84,1,378.0
833,37,9,359.0
834,83,1,378.0
835,25,1,378.0
836,43,9,378.0
837,8,5,378.0
838,33,1,360.0
839,84,1,378.0
840,18,5,378.0
841,66,1,378.0
842,18,9,378.0
843,46,9,378.0
844,37,5,378.0
845,78,1,378.0
846,65,9,378.0
847,97,1,377.0
848,34,1,378.0
849,59,9,378.0
850,62,9,378.0
851,78,1,378.0
852,37,9,378.0
853,15,9,378.0
854,78,9,378.0
855,97,9,378.0
856,98,1,378.0
857,34,1,378.0
858,87,9,375.0
859,27,1,375.0
860,2,9,375.0
861,0,1,378.0
862,34,1,377.0
863,26,9,378.0
864,0,5,371.0
865,18,9,1.0
866,18,9,1.0
867,18,9,1.0
868,53,1,376.0
869,53,1,376.0
870,2,1,376.0
871,35,9,376.0
872,68,9,376.0
873,75,9,377.0
874,62,1,378.0
875,44,1,378.0
876,50,1,378.0
877,57,9,378.0
878,27,9,378.0
879,17,9,378.0
880,65,9,378.0
881,37,1,378.0
882,75,1,378.0
883,36,5,378.0
884,8,9,378.0
885,99,9,378.0
886,37,9,378.0
887,64,9,13.0
888,57,9,378.0
889,70,1,378.0
890,3,9,-3649.0
891,68,1,378.0
892,5,1,378.0
893,69,5,378.0
894,3,10,378.0
895,68,1,354.0
896,25,9,378.0
897,51,9,378.0
898,70,1,378.0
899,54,1,378.0
900,16,1,379.0
901,2,1,379.0
902,3,1,375.0
903,49,1,379.0
904,0,9,379.0
905,10,1,379.0
906,25,10,379.0
907,50,9,379.0
908,87,1,379.0
909,6,10,379.0
910,57,9,379.0
911,57,9,379.0
912,34,1,379.0
913,57,10,379.0
914,48,1,379.0
915,56,5,373.0
916,55,9,375.0
917,54,9,379.0
918,46,9,379.0
919,7,9,379.0
920,31,9,379.0
921,28,1,379.0
922,54,9,379.0
