,0
1553,8
1554,19
1555,68
1556,78
1557,59
1558,2
1559,9
1560,9
1561,93
1562,53
1563,2
1564,18
1565,17
1566,57
1567,8
1568,93
1569,73
1570,47
1571,16
1572,60
1573,77
1574,75
1575,83
1576,65
1577,9
1578,70
1579,70
1580,72
1581,16
1582,18
1583,11
1584,5
1585,10
1586,65
1587,96
1588,81
1589,67
1590,54
1591,75
1592,94
1593,16
1594,53
1595,44
1596,99
1597,35
1598,13
1599,43
1600,33
1601,57
1602,17
1603,16
1604,98
1605,15
1606,98
1607,17
1608,46
1609,33
1610,57
1611,80
1612,12
1613,33
1614,40
1615,27
1616,54
1617,15
1618,52
1619,33
1620,56
1621,6
1622,9
1623,49
1624,75
1625,34
1626,84
1627,2
1628,85
1629,5
1630,69
1631,90
1632,92
1633,71
1634,36
1635,22
1636,94
1637,42
1638,48
1639,4
1640,64
1641,67
1642,31
1643,83
1644,10
1645,18
1646,70
1647,49
1648,28
1649,25
1650,57
1651,68
1652,42
1653,57
1654,2
1655,83
1656,34
1657,80
1658,91
1659,23
1660,68
1661,18
1662,17
1663,23
1664,69
1665,14
1666,0
1667,64
1668,11
1669,18
1670,17
1671,81
1672,30
1673,49
1674,7
1675,91
1676,89
1677,77
1678,50
1679,15
1680,54
1681,66
1682,17
1683,0
1684,7
1685,59
1686,56
1687,94
1688,5
1689,60
1690,8
1691,48
1692,50
1693,48
1694,52
1695,50
1696,67
1697,7
1698,9
1699,97
1700,89
1701,28
1702,81
1703,57
1704,9
1705,70
1706,57
1707,68
1708,7
1709,43
1710,15
1711,57
1712,97
1713,66
1714,15
1715,38
1716,67
1717,97
1718,68
1719,12
1720,0
1721,0
1722,57
1723,60
1724,0
1725,89
1726,22
1727,57
1728,13
1729,27
1730,7
1731,65
1732,48
1733,69
1734,14
1735,68
1736,69
1737,72
1738,42
1739,28
1740,60
1741,47
1742,23
1743,13
1744,89
1745,17
1746,67
1747,44
1748,17
1749,60
1750,65
1751,67
1752,57
1753,49
1754,0
1755,0
1756,62
1757,72
1758,8
1759,84
1760,2
1761,60
1762,0
1763,52
1764,36
1765,1
1766,16
1767,5
1768,5
1769,17
1770,1
1771,0
1772,5
1773,54
1774,71
1775,65
1776,4
1777,67
1778,75
